Case,AoA,Case_ID,Gust,MSE_Cl,RMSE_Cl,MAE_Cl,RelL2Err_Cl,CosineSim_Cl,Peak_Cl_Error,Peak_Cl_Error_Signed,Peak_Timing_Error,Integrated_Abs_Error,Integrated_Sq_Error,Normalized_Integrated_Abs_Error
AoA20_RD17_G_2.8,20,RD17,2.80,0.076917,0.277339,0.147977,0.146821,0.992601,0.752622,0.752622,54,875.325580,455.019714,0.100128
AoA20_RD29_G_1.2,20,RD29,1.20,0.020554,0.143368,0.083232,0.098302,0.996072,0.077732,0.077732,47,492.382254,121.599390,0.071109
AoA20_RD5_G_n2.2,20,RD5,-2.20,0.159315,0.399143,0.238779,0.137234,0.990875,0.064647,0.064647,91,1412.331024,942.346844,0.106903
AoA20_RD8_G_0.8,20,RD8,0.80,0.003212,0.056679,0.034187,0.072678,0.997593,0.081688,0.081688,68,202.241590,19.004794,0.044152
AoA30_RD11_G_1.2,30,RD11,1.20,0.003727,0.061049,0.036531,0.066762,0.998195,0.170707,0.170707,39,216.092837,22.048006,0.041685
AoA30_RD13_G_n3.6,30,RD13,-3.60,2.456299,1.567259,0.857375,0.430325,0.925431,2.381165,2.381165,84,5072.082848,14531.424649,0.326605
AoA30_RD2_G_3.4,30,RD2,3.40,0.080737,0.284142,0.117900,0.249712,0.972047,1.199494,1.199494,8,697.476082,477.637145,0.116428
AoA30_RD22_G_n0.4,30,RD22,-0.40,0.005405,0.073516,0.048508,0.088551,0.996080,0.114396,0.114396,44,286.927846,31.968724,0.060790
AoA30_RD4_G_n1.2,30,RD4,-1.20,0.005910,0.076879,0.043377,0.091620,0.996045,0.187566,0.187566,8,256.596955,34.965385,0.053833
AoA40_RD1_G_n2.2,40,RD1,-2.20,0.017536,0.132424,0.076700,0.133041,0.993375,0.281949,0.281949,25,453.722354,103.742374,0.079030
AoA40_RD12_G_n2.0,40,RD12,-2.00,0.101802,0.319064,0.211193,0.115307,0.993604,0.138432,0.138432,33,1249.245225,602.203598,0.095183
AoA40_RD16_G_4.0,40,RD16,4.00,1.617752,1.271909,0.890940,0.315065,0.950827,0.481632,0.481632,80,5268.840864,9566.524541,0.340224
AoA40_RD19_G_0.8,40,RD19,0.80,0.005415,0.073586,0.049607,0.067187,0.997894,0.041034,0.041034,74,293.425639,32.031252,0.047316
AoA40_RD6_G_1.8,40,RD6,1.80,0.017839,0.133564,0.092879,0.089781,0.997386,0.088750,0.088750,50,549.415196,105.531851,0.075139
AoA50_RD18_G_2.2,50,RD18,2.20,0.032832,0.181196,0.113061,0.112837,0.995315,0.404866,0.404866,64,668.791983,194.226765,0.083282
AoA50_RD21_G_n4.0,50,RD21,-4.00,0.025125,0.158509,0.085016,0.153596,0.991115,0.179604,0.179604,65,502.884634,148.634657,0.083297
AoA50_RD4_G_n3.0,50,RD4,-3.00,0.039823,0.199556,0.139339,0.061299,0.998185,0.299812,0.299812,10,824.222621,235.576153,0.059012
AoA50_RD7_G_0.4,50,RD7,0.40,0.001474,0.038390,0.027257,0.033777,0.999464,0.077031,0.077031,48,161.183960,8.710952,0.024757
AoA50_RD8_G_n2.0,50,RD8,-2.00,0.012424,0.111462,0.061082,0.088205,0.996432,0.234019,0.234019,46,361.262928,73.479206,0.052449
AoA60_RD10_G_n0.4,60,RD10,-0.40,0.005239,0.072380,0.050237,0.067975,0.998373,0.087445,0.087445,2550,297.125666,30.985546,0.048740
AoA60_RD24_G_n1.8,60,RD24,-1.80,0.016668,0.129106,0.073744,0.130369,0.994175,0.295482,0.295482,65,436.223498,98.606445,0.076522
AoA60_RD26_G_2.0,60,RD26,2.00,0.008882,0.094243,0.054996,0.082195,0.997541,0.209090,0.209090,20,325.325684,52.543016,0.050274
AoA60_RD6_G_n3.0,60,RD6,-3.00,0.017087,0.130719,0.081367,0.143062,0.991990,0.267489,0.267489,120,481.310369,101.083716,0.090277
AoA60_RD9_G_n3.0,60,RD9,-3.00,0.636723,0.797949,0.559345,0.392113,0.972626,1.548711,1.548711,54,3308.879770,3766.767292,0.310225
AVERAGE,-,-,-,0.223696,0.282643,0.173943,0.140326,0.988885,0.402723,0.402723,156.125000,1028.888225,1323.194251,0.101557
